step,loss,learning_rate
1,0.06390892714262009,0.002
2,0.061903662979602814,0.002
3,0.05869628116488457,0.002
4,0.050117265433073044,0.002
5,0.06035827100276947,0.002
6,0.04489491879940033,0.002
7,0.03417454659938812,0.002
8,0.026921799406409264,0.002
9,0.02485278621315956,0.002
10,0.025630846619606018,0.002
11,0.029798677191138268,0.002
12,0.06052134931087494,0.002
13,0.03199252858757973,0.002
14,0.031125880777835846,0.002
15,0.024153711274266243,0.002
16,0.021886780858039856,0.002
17,0.13361315429210663,0.002
18,0.0538826510310173,0.002
19,0.054281458258628845,0.002
20,0.04371386021375656,0.002
21,0.027828264981508255,0.002
22,0.052361465990543365,0.002
23,0.03647317364811897,0.002
24,0.04995700716972351,0.002
25,0.03678228706121445,0.002
26,0.04235655814409256,0.002
27,0.03347860276699066,0.002
28,0.037767160683870316,0.002
29,0.024963904172182083,0.002
30,0.05356733500957489,0.002
31,0.04918966442346573,0.002
32,0.05251067504286766,0.002
33,0.041526470333337784,0.002
34,0.03790256381034851,0.002
35,0.06034724414348602,0.002
36,0.05473305284976959,0.002
37,0.045238107442855835,0.002
38,0.0384986586868763,0.002
39,0.04137016832828522,0.002
40,0.038248203694820404,0.002
41,0.039002418518066406,0.002
42,0.03343730419874191,0.002
43,0.040611572563648224,0.002
44,0.03765340894460678,0.002
45,0.06150321289896965,0.002
46,0.05288179963827133,0.002
47,0.03793039172887802,0.002
48,0.038822975009679794,0.002
49,0.04177079349756241,0.002
50,0.046558480709791183,0.002
51,0.03855183720588684,0.002
52,0.04339330643415451,0.002
53,0.04549328237771988,0.002
54,0.03809892758727074,0.002
55,0.04472239315509796,0.002
56,0.038214534521102905,0.002
57,0.03930748626589775,0.002
58,0.03948914259672165,0.002
59,0.061557818204164505,0.002
60,0.03976384550333023,0.002
61,0.03791898861527443,0.002
62,0.05466604232788086,0.002
63,0.04005127400159836,0.002
64,0.06333465129137039,0.002
65,0.03787403181195259,0.002
66,0.044185198843479156,0.002
67,0.053962334990501404,0.002
68,0.0436418280005455,0.002
69,0.04056382179260254,0.002
70,0.045232418924570084,0.002
71,0.05202494561672211,0.002
72,0.047351736575365067,0.002
73,0.039985038340091705,0.002
74,0.04040937125682831,0.002
75,0.0456114299595356,0.002
76,0.04495956003665924,0.002
77,0.04324745386838913,0.002
78,0.04849574342370033,0.002
79,0.049307309091091156,0.002
80,0.043330803513526917,0.002
81,0.04325854033231735,0.002
82,0.04667237773537636,0.002
83,0.0828104317188263,0.002
84,0.09910806268453598,0.002
85,0.04005764424800873,0.002
86,0.04283080995082855,0.002
87,0.042615219950675964,0.002
88,0.045901115983724594,0.002
89,0.044966790825128555,0.002
90,0.044481806457042694,0.002
91,0.04668944329023361,0.002
92,0.04443114250898361,0.002
93,0.042472511529922485,0.002
94,0.04653399437665939,0.002
95,0.056150421500205994,0.002
96,0.04325432330369949,0.002
97,0.03901229053735733,0.002
98,0.0400981679558754,0.002
99,0.04047367721796036,0.002
100,0.0838584452867508,0.002
101,0.03870552033185959,0.002
102,0.037096261978149414,0.002
103,0.054350607097148895,0.002
104,0.0640605092048645,0.002
105,0.03637886047363281,0.002
106,0.03359568119049072,0.002
107,0.03649450093507767,0.002
108,0.06741262972354889,0.002
109,0.036204028874635696,0.002
110,0.045310281217098236,0.002
111,0.040819745510816574,0.002
112,0.043758656829595566,0.002
113,0.03981393575668335,0.002
114,0.03844277560710907,0.002
115,0.03751479461789131,0.002
116,0.03679307550191879,0.002
117,0.036677777767181396,0.002
118,0.03249400854110718,0.002
119,0.033702775835990906,0.002
120,0.02887008711695671,0.002
121,0.04124683141708374,0.002
122,0.03342178836464882,0.002
123,0.0352635532617569,0.002
124,0.03480135276913643,0.002
125,0.039172325283288956,0.002
126,0.037149496376514435,0.002
127,0.036548711359500885,0.002
128,0.03441484272480011,0.002
129,0.03901391476392746,0.002
130,0.037645261734724045,0.002
131,0.05270480364561081,0.002
132,0.03301607817411423,0.002
133,0.029421038925647736,0.002
134,0.03746499866247177,0.002
135,0.04231507331132889,0.002
136,0.034922439604997635,0.002
137,0.038704466074705124,0.002
138,0.035961881279945374,0.002
139,0.04269048571586609,0.002
140,0.040872763842344284,0.002
141,0.02980051189661026,0.002
142,0.037750035524368286,0.002
143,0.05859062448143959,0.002
144,0.027675995603203773,0.002
145,0.02647322788834572,0.002
146,0.027127068489789963,0.002
147,0.03462865576148033,0.002
148,0.032274264842271805,0.002
149,0.04671640321612358,0.002
150,0.03356517478823662,0.002
151,0.030035313218832016,0.002
152,0.04110714793205261,0.002
153,0.04534696787595749,0.002
154,0.04085095226764679,0.002
155,0.0372999906539917,0.002
156,0.0374249592423439,0.002
157,0.03307460620999336,0.002
158,0.03696140646934509,0.002
159,0.03155647590756416,0.002
160,0.0397205650806427,0.002
161,0.03138413280248642,0.002
162,0.030125141143798828,0.002
163,0.027795353904366493,0.002
164,0.05222044140100479,0.002
165,0.043773435056209564,0.002
166,0.030781853944063187,0.002
167,0.03486180305480957,0.002
168,0.036395709961652756,0.002
169,0.03210603445768356,0.002
170,0.029871761798858643,0.002
171,0.029412047937512398,0.002
172,0.03327225148677826,0.002
173,0.026501882821321487,0.002
174,0.03306523337960243,0.002
175,0.0338582843542099,0.002
176,0.02541358396410942,0.002
177,0.04638850316405296,0.002
178,0.029924429953098297,0.002
179,0.040119364857673645,0.002
180,0.03163568675518036,0.002
181,0.026082750409841537,0.002
182,0.03672584146261215,0.002
183,0.025828517973423004,0.002
184,0.028719104826450348,0.002
185,0.03393401950597763,0.002
186,0.03382460027933121,0.002
187,0.027834907174110413,0.002
188,0.030188338831067085,0.002
189,0.03250559791922569,0.002
190,0.02984512783586979,0.002
191,0.030308421701192856,0.002
192,0.03070399910211563,0.002
193,0.05816999822854996,0.002
194,0.03135424852371216,0.002
195,0.02505972981452942,0.002
196,0.02834833227097988,0.002
197,0.02721520885825157,0.002
198,0.027647215873003006,0.002
199,0.0295526385307312,0.002
200,0.03297659382224083,0.002
201,0.03248725086450577,0.002
202,0.03624515235424042,0.002
203,0.02882540412247181,0.002
204,0.02911233901977539,0.002
205,0.030181847512722015,0.002
206,0.03188325837254524,0.002
207,0.029425857588648796,0.002
208,0.03381378948688507,0.002
209,0.029107769951224327,0.002
210,0.031977035105228424,0.002
211,0.06537164747714996,0.002
212,0.04588072746992111,0.002
213,0.05423913896083832,0.002
214,0.03134746104478836,0.002
215,0.038281429558992386,0.002
216,0.03357040882110596,0.002
217,0.0370129719376564,0.002
218,0.029054759070277214,0.002
219,0.03675089031457901,0.002
220,0.02700587920844555,0.002
221,0.028698882088065147,0.002
222,0.03248172625899315,0.002
223,0.034254543483257294,0.002
224,0.021849000826478004,0.002
225,0.02993384748697281,0.002
226,0.02782495692372322,0.002
227,0.026760198175907135,0.002
228,0.027562502771615982,0.002
229,0.028180960565805435,0.002
230,0.030273709446191788,0.002
231,0.029025552794337273,0.002
232,0.02645000070333481,0.002
233,0.02367531880736351,0.002
234,0.027511728927493095,0.002
235,0.028995931148529053,0.002
236,0.02708272449672222,0.002
237,0.028128648176789284,0.002
238,0.030498629435896873,0.002
239,0.028710924088954926,0.002
240,0.0286718737334013,0.002
241,0.024049833416938782,0.002
242,0.035048168152570724,0.002
243,0.019871244207024574,0.002
244,0.04158305004239082,0.002
245,0.036260247230529785,0.002
246,0.0251530222594738,0.002
247,0.028641633689403534,0.002
248,0.027802130207419395,0.002
249,0.02531016804277897,0.002
250,0.03522247076034546,0.002
251,0.020893506705760956,0.002
252,0.02454281598329544,0.002
253,0.027694255113601685,0.002
254,0.03618018329143524,0.002
255,0.028004413470625877,0.002
256,0.032386504113674164,0.002
257,0.02966291457414627,0.002
258,0.036631837487220764,0.002
259,0.022050347179174423,0.002
260,0.023972243070602417,0.002
261,0.029229648411273956,0.002
262,0.03060607612133026,0.002
263,0.02816806733608246,0.002
264,0.025610677897930145,0.002
265,0.03002816066145897,0.002
266,0.023429956287145615,0.002
267,0.03027564100921154,0.002
268,0.029647575691342354,0.002
269,0.025655502453446388,0.002
270,0.024596843868494034,0.002
271,0.03196573629975319,0.002
272,0.02538474276661873,0.002
273,0.03939015418291092,0.002
274,0.02777213789522648,0.002
275,0.02781970240175724,0.002
276,0.032640740275382996,0.002
277,0.024830251932144165,0.002
278,0.024218052625656128,0.002
279,0.02636559307575226,0.002
280,0.027777649462223053,0.002
281,0.045012593269348145,0.002
282,0.02616230584681034,0.002
283,0.026005107909440994,0.002
284,0.02446639910340309,0.002
