step,loss,learning_rate
1,0.06797166913747787,0.002
2,0.06591539084911346,0.002
3,0.06381829082965851,0.002
4,0.05813547596335411,0.002
5,0.05945528298616409,0.002
6,0.05086374282836914,0.002
7,0.04014580696821213,0.002
8,0.04625741392374039,0.002
9,0.03909015655517578,0.002
10,0.036836907267570496,0.002
11,0.041850194334983826,0.002
12,0.052527666091918945,0.002
13,0.04456532001495361,0.002
14,0.040875066071748734,0.002
15,0.03900505602359772,0.002
16,0.037866223603487015,0.002
17,0.11075122654438019,0.002
18,0.06021618843078613,0.002
19,0.06199930980801582,0.002
20,0.04485458880662918,0.002
21,0.03800084814429283,0.002
22,0.06530168652534485,0.002
23,0.05601046234369278,0.002
24,0.05164460837841034,0.002
25,0.05347631871700287,0.002
26,0.0489681139588356,0.002
27,0.04669559746980667,0.002
28,0.049107879400253296,0.002
29,0.03635535016655922,0.002
30,0.05732882767915726,0.002
31,0.049718089401721954,0.002
32,0.06024990975856781,0.002
33,0.05221761390566826,0.002
34,0.05249134451150894,0.002
35,0.05099068582057953,0.002
36,0.05776527523994446,0.002
37,0.046066053211688995,0.002
38,0.04548698663711548,0.002
39,0.04733927547931671,0.002
40,0.04492635279893875,0.002
41,0.0463595911860466,0.002
42,0.042718030512332916,0.002
43,0.051109716296195984,0.002
44,0.05365307256579399,0.002
45,0.054371267557144165,0.002
46,0.046968743205070496,0.002
47,0.0456257238984108,0.002
48,0.049795445054769516,0.002
49,0.05238788574934006,0.002
50,0.051860563457012177,0.002
51,0.04376697540283203,0.002
52,0.05178823694586754,0.002
53,0.04913625493645668,0.002
54,0.04478515684604645,0.002
55,0.05050709471106529,0.002
56,0.043614305555820465,0.002
57,0.04394973814487457,0.002
58,0.047294218093156815,0.002
59,0.08987125754356384,0.002
60,0.044281650334596634,0.002
61,0.054437100887298584,0.002
62,0.05110177397727966,0.002
63,0.049176402390003204,0.002
64,0.061870429664850235,0.002
65,0.05285108834505081,0.002
66,0.051236581057310104,0.002
67,0.055208608508110046,0.002
68,0.05531000345945358,0.002
69,0.0503992922604084,0.002
70,0.05109766125679016,0.002
71,0.05087082087993622,0.002
72,0.0590728297829628,0.002
73,0.04392373934388161,0.002
74,0.06068123131990433,0.002
75,0.07461556792259216,0.002
76,0.06249639391899109,0.002
77,0.05408063530921936,0.002
78,0.0563398152589798,0.002
79,0.05433366820216179,0.002
80,0.04973262920975685,0.002
81,0.049524690955877304,0.002
82,0.051181361079216,0.002
83,0.0545235313475132,0.002
84,0.06425932049751282,0.002
85,0.051541510969400406,0.002
86,0.05282379686832428,0.002
87,0.054517216980457306,0.002
88,0.05437147244811058,0.002
89,0.050169847905635834,0.002
90,0.054907504469156265,0.002
91,0.05013963580131531,0.002
92,0.05737922340631485,0.002
93,0.05171726644039154,0.002
94,0.04981367290019989,0.002
95,0.049213163554668427,0.002
96,0.052997805178165436,0.002
97,0.060895729809999466,0.002
98,0.04578126221895218,0.002
99,0.050840821117162704,0.002
100,0.054898813366889954,0.002
101,0.05049937218427658,0.002
102,0.046842023730278015,0.002
103,0.052464183419942856,0.002
104,0.05999690294265747,0.002
105,0.0476330891251564,0.002
106,0.04599183052778244,0.002
107,0.06380122900009155,0.002
108,0.05603278428316116,0.002
109,0.04852471873164177,0.002
110,0.051321666687726974,0.002
111,0.06265172362327576,0.002
112,0.05740048736333847,0.002
113,0.050548896193504333,0.002
114,0.05220293626189232,0.002
115,0.0544624961912632,0.002
116,0.06587611138820648,0.002
117,0.060529954731464386,0.002
118,0.051552727818489075,0.002
119,0.05203930288553238,0.002
120,0.0522809661924839,0.002
121,0.055655792355537415,0.002
122,0.05465565621852875,0.002
123,0.0535113662481308,0.002
124,0.05131968855857849,0.002
125,0.05379486829042435,0.002
126,0.053270019590854645,0.002
127,0.054991014301776886,0.002
128,0.052791669964790344,0.002
129,0.05349113792181015,0.002
130,0.05938636139035225,0.002
131,0.06864967942237854,0.002
132,0.04716949909925461,0.002
133,0.05022023990750313,0.002
134,0.052292436361312866,0.002
135,0.05252019315958023,0.002
136,0.04662788286805153,0.002
137,0.053163640201091766,0.002
138,0.04930102452635765,0.002
139,0.04992913454771042,0.002
140,0.0489363931119442,0.002
141,0.05001005530357361,0.002
142,0.06008395552635193,0.002
143,0.05400581657886505,0.002
144,0.05043826252222061,0.002
145,0.05009457841515541,0.002
146,0.051347650587558746,0.002
147,0.046994104981422424,0.002
148,0.04785684123635292,0.002
149,0.0492483451962471,0.002
150,0.05079057812690735,0.002
151,0.051774345338344574,0.002
152,0.050789251923561096,0.002
153,0.0646236389875412,0.002
154,0.050528258085250854,0.002
155,0.043054837733507156,0.002
156,0.053131818771362305,0.002
157,0.04890085384249687,0.002
158,0.04510556906461716,0.002
159,0.04398352652788162,0.002
160,0.047850221395492554,0.002
161,0.047913748770952225,0.002
162,0.042005833238363266,0.002
163,0.05565216764807701,0.002
164,0.059915803372859955,0.002
165,0.046697553247213364,0.002
166,0.04479445517063141,0.002
167,0.04487820342183113,0.002
168,0.044686153531074524,0.002
169,0.048678334802389145,0.002
170,0.04865330085158348,0.002
171,0.05540851503610611,0.002
172,0.045585259795188904,0.002
173,0.03701476752758026,0.002
174,0.05000635236501694,0.002
175,0.048169929534196854,0.002
176,0.03934293985366821,0.002
